type_encoded,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,temp_diff_k,power_w,strain_min_nm,tool_wear_critical,machine_failure,twf,hdf,pwf,osf,rnf
1,302.0,310.9,1456,47.2,54,8.9,7196.68,2548.8,0,0,0,0,0,0,0
1,297.0,308.3,1399,46.4,132,11.3,6797.74,6124.8,0,0,0,0,0,0,1
1,301.0,311.6,1357,45.6,137,10.6,6479.97,6247.2,0,0,0,0,0,0,0
0,298.9,309.8,1411,56.3,84,10.9,8318.86,4729.2,0,0,0,0,0,0,0
0,297.1,308.5,1733,28.7,50,11.4,5208.46,1435.0,0,0,0,0,0,0,0
2,298.3,308.9,1706,31.8,8,10.6,5681.13,254.4,0,0,0,0,0,0,0
1,300.7,311.0,1263,52.3,104,10.3,6917.25,5439.2,0,0,0,0,0,0,0
2,297.6,309.0,1413,40.2,51,11.4,5948.35,2050.2,0,0,0,0,0,0,0
1,303.9,313.2,1608,40.6,79,9.3,6836.61,3207.4,0,0,0,0,0,0,0
2,297.3,308.6,1431,42.0,109,11.3,6293.87,4578.0,0,0,0,0,0,0,0
0,298.9,310.1,1466,42.5,187,11.2,6524.56,7947.5,0,0,0,0,0,0,0
0,297.9,308.6,1691,29.6,116,10.7,5241.6,3433.6,0,0,0,0,0,0,0
0,299.2,310.7,1540,36.3,175,11.5,5854.04,6352.5,0,0,0,0,0,0,0
0,298.4,308.4,1515,40.1,179,10.0,6361.88,7177.9,0,0,0,0,0,0,0
1,300.4,309.8,1421,47.2,0,9.4,7023.68,0.0,0,0,0,0,0,0,0
0,298.7,309.9,1617,33.0,203,11.2,5587.95,6699.0,1,0,0,0,0,0,0
0,297.7,308.7,1249,60.4,143,11.0,7900.02,8637.2,0,0,0,0,0,0,0
0,298.9,310.0,1564,33.8,183,11.1,5535.82,6185.4,0,0,0,0,0,0,0
0,298.1,308.7,1568,32.9,10,10.6,5402.2,329.0,0,0,0,0,0,0,0
0,304.1,313.2,1434,50.1,43,9.1,7523.42,2154.3,0,0,0,0,0,0,0
0,302.5,311.1,1571,34.2,201,8.6,5626.4,6874.2,1,0,0,0,0,0,0
2,299.2,308.8,1908,21.3,104,9.6,4255.85,2215.2,0,0,0,0,0,0,0
0,299.6,310.2,1468,48.0,9,10.6,7378.97,432.0,0,0,0,0,0,0,0
2,301.0,312.2,1489,40.3,117,11.2,6283.89,4715.1,0,0,0,0,0,0,0
0,299.1,310.5,1389,61.4,64,11.4,8930.98,3929.6,0,0,0,0,0,0,0
0,302.4,310.2,1351,45.1,168,7.8,6380.59,7576.8,0,1,0,1,0,0,0
0,299.1,310.5,1532,36.6,62,11.4,5871.76,2269.2,0,0,0,0,0,0,0
